Time (s),Temperature_tr
0.0,3000.02
1e-08,3000.37
2e-08,3000.72
3.0000000000000004e-08,3001.07
4e-08,3001.42
5.0000000000000004e-08,3001.77
6.000000000000001e-08,3002.12
7e-08,3002.47
8e-08,3002.83
9.000000000000001e-08,3003.18
1.0000000000000001e-07,3003.53
2.0000000000000002e-07,3007.07
3.0000000000000004e-07,3010.62
4.0000000000000003e-07,3014.19
5.000000000000001e-07,3017.79
6.000000000000001e-07,3021.41
7.000000000000001e-07,3025.05
8.000000000000001e-07,3028.7
9.000000000000001e-07,3032.39
1.0000000000000002e-06,3036.09
2.0000000000000003e-06,3074.35
3e-06,3115.03
4.000000000000001e-06,3158.35
5e-06,3204.59
6e-06,3254.06
7.000000000000001e-06,3307.09
8.000000000000001e-06,3364.05
9e-06,3425.33
1e-05,3491.38
1.1000000000000001e-05,3562.64
1.2e-05,3639.53
1.3000000000000001e-05,3722.46
1.4000000000000001e-05,3811.69
1.5e-05,3907.29
1.6000000000000003e-05,4008.99
1.7e-05,4116.03
1.8e-05,4226.97
1.9e-05,4339.59
2e-05,4450.89
2.1000000000000002e-05,4557.35
2.2000000000000003e-05,4655.42
2.3e-05,4742.14
2.4e-05,4815.71
2.5e-05,4875.7
2.6000000000000002e-05,4922.91
2.7000000000000002e-05,4958.95
2.8000000000000003e-05,4985.8
2.9e-05,5005.4
3e-05,5019.5
3.1e-05,5029.51
3.2000000000000005e-05,5036.54
3.3e-05,5041.44
3.4e-05,5044.82
3.5000000000000004e-05,5047.12
3.6e-05,5048.66
3.7000000000000005e-05,5049.68
3.8e-05,5050.32
3.9e-05,5050.71
4e-05,5050.91
4.1e-05,5050.99
4.2000000000000004e-05,5050.98
4.3e-05,5050.9
4.4000000000000006e-05,5050.79
4.5e-05,5050.64
4.6e-05,5050.48
4.7000000000000004e-05,5050.3
4.8e-05,5050.11
4.9000000000000005e-05,5049.92
5e-05,5049.72
5.1000000000000006e-05,5049.52
5.2000000000000004e-05,5049.31
5.3e-05,5049.11
5.4000000000000005e-05,5048.9
5.5e-05,5048.69
5.6000000000000006e-05,5048.49
5.7e-05,5048.28
5.8e-05,5048.07
5.9000000000000004e-05,5047.87
6e-05,5047.66
6.1000000000000005e-05,5047.45
6.2e-05,5047.25
6.3e-05,5047.04
6.400000000000001e-05,5046.84
6.500000000000001e-05,5046.64
6.6e-05,5046.43
6.7e-05,5046.23
6.8e-05,5046.03
6.900000000000001e-05,5045.83
7.000000000000001e-05,5045.62
7.1e-05,5045.42
7.2e-05,5045.22
7.3e-05,5045.02
7.400000000000001e-05,5044.82
7.500000000000001e-05,5044.63
7.6e-05,5044.43
7.7e-05,5044.23
7.8e-05,5044.03
7.900000000000001e-05,5043.84
8e-05,5043.64
8.1e-05,5043.44
8.2e-05,5043.25
8.300000000000001e-05,5043.06
8.400000000000001e-05,5042.86
8.5e-05,5042.67
8.6e-05,5042.48
8.7e-05,5042.28
8.800000000000001e-05,5042.09
8.900000000000001e-05,5041.9
9e-05,5041.71
9.1e-05,5041.52
9.2e-05,5041.33
9.300000000000001e-05,5041.14
9.400000000000001e-05,5040.96
9.5e-05,5040.77
9.6e-05,5040.58
9.7e-05,5040.4
9.800000000000001e-05,5040.21
9.900000000000001e-05,5040.02
0.0001,5039.84
