Time (s),Temperature_tr
0.0,3000.02
1e-08,3000.36
2e-08,3000.71
3.0000000000000004e-08,3001.05
4e-08,3001.4
5.0000000000000004e-08,3001.74
6.000000000000001e-08,3002.09
7e-08,3002.44
8e-08,3002.78
9.000000000000001e-08,3003.13
1.0000000000000001e-07,3003.48
2.0000000000000002e-07,3006.96
3.0000000000000004e-07,3010.46
4.0000000000000003e-07,3013.98
5.000000000000001e-07,3017.52
6.000000000000001e-07,3021.08
7.000000000000001e-07,3024.66
8.000000000000001e-07,3028.26
9.000000000000001e-07,3031.89
1.0000000000000002e-06,3035.53
2.0000000000000003e-06,3073.17
3e-06,3113.16
4.000000000000001e-06,3155.72
5e-06,3201.1
6e-06,3249.61
7.000000000000001e-06,3301.56
8.000000000000001e-06,3357.3
9e-06,3417.23
1e-05,3481.75
1.1000000000000001e-05,3551.31
1.2e-05,3626.32
1.3000000000000001e-05,3707.18
1.4000000000000001e-05,3794.19
1.5e-05,3887.48
1.6000000000000003e-05,3986.86
1.7e-05,4091.74
1.8e-05,4200.9
1.9e-05,4312.37
2e-05,4423.43
2.1000000000000002e-05,4530.76
2.2000000000000003e-05,4630.84
2.3e-05,4720.53
2.4e-05,4797.71
2.5e-05,4861.51
2.6000000000000002e-05,4912.38
2.7000000000000002e-05,4951.68
2.8000000000000003e-05,4981.24
2.9e-05,5003.02
3e-05,5018.81
3.1e-05,5030.1
3.2000000000000005e-05,5038.08
3.3e-05,5043.68
3.4e-05,5047.57
3.5000000000000004e-05,5050.24
3.6e-05,5052.06
3.7000000000000005e-05,5053.27
3.8e-05,5054.05
3.9e-05,5054.53
4e-05,5054.81
4.1e-05,5054.94
4.2000000000000004e-05,5054.97
4.3e-05,5054.93
4.4000000000000006e-05,5054.84
4.5e-05,5054.71
4.6e-05,5054.56
4.7000000000000004e-05,5054.39
4.8e-05,5054.21
4.9000000000000005e-05,5054.03
5e-05,5053.83
5.1000000000000006e-05,5053.64
5.2000000000000004e-05,5053.44
5.3e-05,5053.24
5.4000000000000005e-05,5053.03
5.5e-05,5052.83
5.6000000000000006e-05,5052.63
5.7e-05,5052.42
5.8e-05,5052.22
5.9000000000000004e-05,5052.01
6e-05,5051.81
6.1000000000000005e-05,5051.6
6.2e-05,5051.4
6.3e-05,5051.2
6.400000000000001e-05,5050.99
6.500000000000001e-05,5050.79
6.6e-05,5050.59
6.7e-05,5050.38
6.8e-05,5050.18
6.900000000000001e-05,5049.98
7.000000000000001e-05,5049.77
7.1e-05,5049.57
7.2e-05,5049.37
7.3e-05,5049.16
7.400000000000001e-05,5048.96
7.500000000000001e-05,5048.76
7.6e-05,5048.56
7.7e-05,5048.36
7.8e-05,5048.15
7.900000000000001e-05,5047.95
8e-05,5047.75
8.1e-05,5047.55
8.2e-05,5047.35
8.300000000000001e-05,5047.15
8.400000000000001e-05,5046.95
8.5e-05,5046.75
8.6e-05,5046.55
8.7e-05,5046.35
8.800000000000001e-05,5046.15
8.900000000000001e-05,5045.95
9e-05,5045.75
9.1e-05,5045.55
9.2e-05,5045.35
9.300000000000001e-05,5045.15
9.400000000000001e-05,5044.95
9.5e-05,5044.76
9.6e-05,5044.56
9.7e-05,5044.36
9.800000000000001e-05,5044.16
9.900000000000001e-05,5043.96
0.0001,5043.77
