Time (s),Temperature_ve
0.0,9999.95
1e-08,9999.29
2e-08,9998.61
3.0000000000000004e-08,9997.93
4e-08,9997.25
5.0000000000000004e-08,9996.57
6.000000000000001e-08,9995.89
7e-08,9995.21
8e-08,9994.53
9.000000000000001e-08,9993.85
1.0000000000000001e-07,9993.17
2.0000000000000002e-07,9986.32
3.0000000000000004e-07,9979.43
4.0000000000000003e-07,9972.49
5.000000000000001e-07,9965.5
6.000000000000001e-07,9958.46
7.000000000000001e-07,9951.38
8.000000000000001e-07,9944.25
9.000000000000001e-07,9937.07
1.0000000000000002e-06,9929.84
2.0000000000000003e-06,9854.66
3e-06,9773.88
4.000000000000001e-06,9686.86
5e-06,9592.86
6e-06,9491.05
7.000000000000001e-06,9380.5
8.000000000000001e-06,9260.16
9e-06,9128.84
1e-05,8985.26
1.1000000000000001e-05,8828.05
1.2e-05,8655.79
1.3000000000000001e-05,8467.13
1.4000000000000001e-05,8260.94
1.5e-05,8036.56
1.6000000000000003e-05,7794.14
1.7e-05,7535.08
1.8e-05,7262.47
1.9e-05,6981.48
2e-05,6699.41
2.1000000000000002e-05,6425.21
2.2000000000000003e-05,6168.32
2.3e-05,5937.18
2.4e-05,5737.65
2.5e-05,5572.16
2.6000000000000002e-05,5439.83
2.7000000000000002e-05,5337.29
2.8000000000000003e-05,5259.86
2.9e-05,5202.57
3e-05,5160.81
3.1e-05,5130.72
3.2000000000000005e-05,5109.2
3.3e-05,5093.89
3.4e-05,5083.02
3.5000000000000004e-05,5075.31
3.6e-05,5069.84
3.7000000000000005e-05,5065.94
3.8e-05,5063.15
3.9e-05,5061.14
4e-05,5059.66
4.1e-05,5058.57
4.2000000000000004e-05,5057.74
4.3e-05,5057.1
4.4000000000000006e-05,5056.6
4.5e-05,5056.18
4.6e-05,5055.82
4.7000000000000004e-05,5055.51
4.8e-05,5055.23
4.9000000000000005e-05,5054.97
5e-05,5054.73
5.1000000000000006e-05,5054.5
5.2000000000000004e-05,5054.28
5.3e-05,5054.06
5.4000000000000005e-05,5053.84
5.5e-05,5053.63
5.6000000000000006e-05,5053.42
5.7e-05,5053.21
5.8e-05,5053.01
5.9000000000000004e-05,5052.8
6e-05,5052.59
6.1000000000000005e-05,5052.39
6.2e-05,5052.18
6.3e-05,5051.98
6.400000000000001e-05,5051.77
6.500000000000001e-05,5051.57
6.6e-05,5051.36
6.7e-05,5051.16
6.8e-05,5050.95
6.900000000000001e-05,5050.75
7.000000000000001e-05,5050.55
7.1e-05,5050.34
7.2e-05,5050.14
7.3e-05,5049.94
7.400000000000001e-05,5049.73
7.500000000000001e-05,5049.53
7.6e-05,5049.33
7.7e-05,5049.13
7.8e-05,5048.93
7.900000000000001e-05,5048.72
8e-05,5048.52
8.1e-05,5048.32
8.2e-05,5048.12
8.300000000000001e-05,5047.92
8.400000000000001e-05,5047.72
8.5e-05,5047.52
8.6e-05,5047.31
8.7e-05,5047.11
8.800000000000001e-05,5046.91
8.900000000000001e-05,5046.71
9e-05,5046.52
9.1e-05,5046.31
9.2e-05,5046.11
9.300000000000001e-05,5045.92
9.400000000000001e-05,5045.72
9.5e-05,5045.52
9.6e-05,5045.32
9.7e-05,5045.12
9.800000000000001e-05,5044.92
9.900000000000001e-05,5044.72
0.0001,5044.52
