Time (s),Temperature_tr
0.0,9995.36
1e-08,9928.91
2e-08,9865.07
3.0000000000000004e-08,9804.66
4e-08,9747.39
5.0000000000000004e-08,9692.99
6.000000000000001e-08,9641.24
7e-08,9591.93
8e-08,9544.87
9.000000000000001e-08,9499.89
1.0000000000000001e-07,9456.85
2.0000000000000002e-07,9108.81
3.0000000000000004e-07,8861.31
4.0000000000000003e-07,8674.41
5.000000000000001e-07,8527.36
6.000000000000001e-07,8408.16
7.000000000000001e-07,8309.3
8.000000000000001e-07,8225.81
9.000000000000001e-07,8154.26
1.0000000000000002e-06,8092.18
2.0000000000000003e-06,7740.09
3e-06,7582.64
4.000000000000001e-06,7488.72
5e-06,7422.19
6e-06,7369.46
7.000000000000001e-06,7324.58
8.000000000000001e-06,7284.7
9e-06,7248.34
1e-05,7214.67
