Time (s),Temperature_ve
0.0,1027.58
1e-08,1346.14
2e-08,1592.0
3.0000000000000004e-08,1801.35
4e-08,1987.65
5.0000000000000004e-08,2157.24
6.000000000000001e-08,2313.74
7e-08,2459.48
8e-08,2596.09
9.000000000000001e-08,2724.78
1.0000000000000001e-07,2846.49
2.0000000000000002e-07,3797.06
3.0000000000000004e-07,4451.22
4.0000000000000003e-07,4937.47
5.000000000000001e-07,5315.48
6.000000000000001e-07,5618.36
7.000000000000001e-07,5866.39
8.000000000000001e-07,6072.91
9.000000000000001e-07,6247.11
1.0000000000000002e-06,6395.59
2.0000000000000003e-06,7148.13
3e-06,7375.42
4.000000000000001e-06,7441.21
5e-06,7445.34
6e-06,7424.27
7.000000000000001e-06,7393.03
8.000000000000001e-06,7358.31
9e-06,7322.99
1e-05,7288.45
