Time (s),Temperature_tr
0.0,9995.41
1e-08,9929.55
2e-08,9866.24
3.0000000000000004e-08,9806.3
4e-08,9749.45
5.0000000000000004e-08,9695.42
6.000000000000001e-08,9644.0
7e-08,9594.98
8e-08,9548.18
9.000000000000001e-08,9503.43
1.0000000000000001e-07,9460.61
2.0000000000000002e-07,9113.78
3.0000000000000004e-07,8866.66
4.0000000000000003e-07,8679.81
5.000000000000001e-07,8532.67
6.000000000000001e-07,8413.31
7.000000000000001e-07,8314.26
8.000000000000001e-07,8230.58
9.000000000000001e-07,8158.84
1.0000000000000002e-06,8096.59
2.0000000000000003e-06,7743.43
3e-06,7585.65
4.000000000000001e-06,7491.64
5e-06,7425.08
6e-06,7372.31
7.000000000000001e-06,7327.38
8.000000000000001e-06,7287.44
9e-06,7251.02
1e-05,7217.27
