Time (s),Temperature_ve
0.0,1027.16
1e-08,1342.05
2e-08,1585.76
3.0000000000000004e-08,1793.51
4e-08,1978.51
5.0000000000000004e-08,2147.0
6.000000000000001e-08,2302.55
7e-08,2447.46
8e-08,2583.35
9.000000000000001e-08,2711.41
1.0000000000000001e-07,2832.56
2.0000000000000002e-07,3779.95
3.0000000000000004e-07,4433.14
4.0000000000000003e-07,4919.3
5.000000000000001e-07,5297.62
6.000000000000001e-07,5601.0
7.000000000000001e-07,5849.61
8.000000000000001e-07,6056.74
9.000000000000001e-07,6231.54
1.0000000000000002e-06,6380.59
2.0000000000000003e-06,7137.1
3e-06,7366.15
4.000000000000001e-06,7432.95
5e-06,7437.85
6e-06,7417.42
7.000000000000001e-06,7386.78
8.000000000000001e-06,7352.56
9e-06,7317.73
1e-05,7283.61
