Time (s),Temperature_tr
0.0,9998.84
1e-08,9981.77
2e-08,9964.43
3.0000000000000004e-08,9947.11
4e-08,9929.81
5.0000000000000004e-08,9912.54
6.000000000000001e-08,9895.29
7e-08,9878.07
8e-08,9860.88
9.000000000000001e-08,9843.71
1.0000000000000001e-07,9826.57
2.0000000000000002e-07,9657.01
3.0000000000000004e-07,9491.35
4.0000000000000003e-07,9330.27
5.000000000000001e-07,9174.28
6.000000000000001e-07,9023.73
7.000000000000001e-07,8878.85
8.000000000000001e-07,8739.73
9.000000000000001e-07,8606.41
1.0000000000000002e-06,8478.84
2.0000000000000003e-06,7483.18
3e-06,6855.96
4.000000000000001e-06,6441.85
5e-06,6153.59
6e-06,5944.02
7.000000000000001e-06,5786.38
8.000000000000001e-06,5664.57
9e-06,5568.35
1e-05,5490.93
1.1000000000000001e-05,5427.65
1.2e-05,5375.17
1.3000000000000001e-05,5331.1
1.4000000000000001e-05,5293.64
1.5e-05,5261.44
1.6000000000000003e-05,5233.49
1.7e-05,5209.0
1.8e-05,5187.33
1.9e-05,5168.02
2e-05,5150.66
2.1000000000000002e-05,5134.97
2.2000000000000003e-05,5120.68
2.3e-05,5107.6
2.4e-05,5095.57
2.5e-05,5084.45
2.6000000000000002e-05,5074.13
2.7000000000000002e-05,5064.52
2.8000000000000003e-05,5055.55
2.9e-05,5047.14
3e-05,5039.26
3.1e-05,5031.84
3.2000000000000005e-05,5024.85
3.3e-05,5018.26
3.4e-05,5012.04
3.5000000000000004e-05,5006.15
3.6e-05,5000.58
3.7000000000000005e-05,4995.31
3.8e-05,4990.31
3.9e-05,4985.58
4e-05,4981.09
4.1e-05,4976.83
4.2000000000000004e-05,4972.79
4.3e-05,4968.95
4.4000000000000006e-05,4965.31
4.5e-05,4961.86
4.6e-05,4958.59
4.7000000000000004e-05,4955.49
4.8e-05,4952.54
4.9000000000000005e-05,4949.76
5e-05,4947.11
5.1000000000000006e-05,4944.61
5.2000000000000004e-05,4942.24
5.3e-05,4940.0
5.4000000000000005e-05,4937.88
5.5e-05,4935.88
5.6000000000000006e-05,4934.0
5.7e-05,4932.22
5.8e-05,4930.54
5.9000000000000004e-05,4928.96
6e-05,4927.48
6.1000000000000005e-05,4926.1
6.2e-05,4924.79
6.3e-05,4923.58
6.400000000000001e-05,4922.44
6.500000000000001e-05,4921.39
6.6e-05,4920.41
6.7e-05,4919.5
6.8e-05,4918.66
6.900000000000001e-05,4917.9
7.000000000000001e-05,4917.19
7.1e-05,4916.55
7.2e-05,4915.97
7.3e-05,4915.45
7.400000000000001e-05,4914.99
7.500000000000001e-05,4914.58
7.6e-05,4914.22
7.7e-05,4913.91
7.8e-05,4913.66
7.900000000000001e-05,4913.45
8e-05,4913.29
8.1e-05,4913.17
8.2e-05,4913.09
8.300000000000001e-05,4913.06
8.400000000000001e-05,4913.06
8.5e-05,4913.11
8.6e-05,4913.19
8.7e-05,4913.31
8.800000000000001e-05,4913.47
8.900000000000001e-05,4913.66
9e-05,4913.88
9.1e-05,4914.14
9.2e-05,4914.42
9.300000000000001e-05,4914.73
9.400000000000001e-05,4915.08
9.5e-05,4915.45
9.6e-05,4915.85
9.7e-05,4916.28
9.800000000000001e-05,4916.73
9.900000000000001e-05,4917.21
0.0001,4917.71
0.000101,4918.23
0.00010200000000000001,4918.78
0.00010300000000000001,4919.34
0.00010400000000000001,4919.93
0.000105,4920.54
0.000106,4921.17
0.00010700000000000001,4921.82
0.00010800000000000001,4922.48
0.000109,4923.17
0.00011,4923.87
0.000111,4924.59
0.00011200000000000001,4925.32
0.00011300000000000001,4926.07
0.000114,4926.83
0.000115,4927.61
0.000116,4928.4
0.00011700000000000001,4929.21
0.00011800000000000001,4930.03
0.000119,4930.86
0.00012,4931.71
0.00012100000000000001,4932.56
0.00012200000000000001,4933.43
0.000123,4934.31
0.000124,4935.2
0.000125,4936.1
0.000126,4937.0
0.000127,4937.92
0.00012800000000000002,4938.85
0.00012900000000000002,4939.78
0.00013000000000000002,4940.73
0.000131,4941.68
0.000132,4942.64
0.000133,4943.6
0.000134,4944.58
0.000135,4945.56
0.000136,4946.54
0.000137,4947.53
0.00013800000000000002,4948.53
0.00013900000000000002,4949.53
0.00014000000000000001,4950.54
0.000141,4951.56
0.000142,4952.57
0.000143,4953.6
0.000144,4954.62
0.000145,4955.65
0.000146,4956.69
