Time (s),Temperature_tr
0.0,9998.84
1e-08,9981.67
2e-08,9964.2
3.0000000000000004e-08,9946.72
4e-08,9929.22
5.0000000000000004e-08,9911.72
6.000000000000001e-08,9894.21
7e-08,9876.7
8e-08,9859.19
9.000000000000001e-08,9841.68
1.0000000000000001e-07,9824.17
2.0000000000000002e-07,9649.73
3.0000000000000004e-07,9477.67
4.0000000000000003e-07,9309.48
5.000000000000001e-07,9146.27
6.000000000000001e-07,8988.88
7.000000000000001e-07,8837.88
8.000000000000001e-07,8693.65
9.000000000000001e-07,8556.4
1.0000000000000002e-06,8426.17
2.0000000000000003e-06,7471.11
3e-06,6955.54
4.000000000000001e-06,6667.35
5e-06,6497.17
6e-06,6391.56
7.000000000000001e-06,6322.95
8.000000000000001e-06,6276.27
9e-06,6242.87
1e-05,6217.63
1.1000000000000001e-05,6197.44
1.2e-05,6180.4
1.3000000000000001e-05,6165.33
1.4000000000000001e-05,6151.52
1.5e-05,6138.52
1.6000000000000003e-05,6126.07
1.7e-05,6114.01
1.8e-05,6102.26
1.9e-05,6090.77
2e-05,6079.5
2.1000000000000002e-05,6068.45
2.2000000000000003e-05,6057.61
2.3e-05,6046.99
2.4e-05,6036.58
2.5e-05,6026.39
2.6000000000000002e-05,6016.41
2.7000000000000002e-05,6006.65
2.8000000000000003e-05,5997.1
2.9e-05,5987.76
3e-05,5978.63
3.1e-05,5969.71
3.2000000000000005e-05,5960.99
3.3e-05,5952.47
3.4e-05,5944.13
3.5000000000000004e-05,5935.99
3.6e-05,5928.03
3.7000000000000005e-05,5920.25
3.8e-05,5912.63
3.9e-05,5905.19
4e-05,5897.9
4.1e-05,5890.78
4.2000000000000004e-05,5883.8
4.3e-05,5876.98
4.4000000000000006e-05,5870.29
4.5e-05,5863.74
4.6e-05,5857.33
4.7000000000000004e-05,5851.04
4.8e-05,5844.88
4.9000000000000005e-05,5838.84
5e-05,5832.91
5.1000000000000006e-05,5827.1
5.2000000000000004e-05,5821.4
5.3e-05,5815.8
5.4000000000000005e-05,5810.3
5.5e-05,5804.91
5.6000000000000006e-05,5799.61
5.7e-05,5794.4
5.8e-05,5789.28
5.9000000000000004e-05,5784.25
6e-05,5779.31
6.1000000000000005e-05,5774.45
6.2e-05,5769.67
6.3e-05,5764.96
6.400000000000001e-05,5760.33
6.500000000000001e-05,5755.78
6.6e-05,5751.29
6.7e-05,5746.88
6.8e-05,5742.53
6.900000000000001e-05,5738.24
7.000000000000001e-05,5734.02
7.1e-05,5729.87
7.2e-05,5725.77
7.3e-05,5721.73
7.400000000000001e-05,5717.75
7.500000000000001e-05,5713.82
7.6e-05,5709.95
7.7e-05,5706.13
7.8e-05,5702.36
7.900000000000001e-05,5698.64
8e-05,5694.97
8.1e-05,5691.35
8.2e-05,5687.78
8.300000000000001e-05,5684.25
