Time (s),Temperature_tr
0.0,9998.84
1e-08,9981.67
2e-08,9964.2
3.0000000000000004e-08,9946.72
4e-08,9929.22
5.0000000000000004e-08,9911.72
6.000000000000001e-08,9894.21
7e-08,9876.7
8e-08,9859.19
9.000000000000001e-08,9841.68
1.0000000000000001e-07,9824.17
2.0000000000000002e-07,9649.73
3.0000000000000004e-07,9477.67
4.0000000000000003e-07,9309.48
5.000000000000001e-07,9146.27
6.000000000000001e-07,8988.88
7.000000000000001e-07,8837.88
8.000000000000001e-07,8693.66
9.000000000000001e-07,8556.4
1.0000000000000002e-06,8426.17
2.0000000000000003e-06,7471.13
3e-06,6955.57
4.000000000000001e-06,6667.39
5e-06,6497.24
6e-06,6391.65
7.000000000000001e-06,6323.08
8.000000000000001e-06,6276.44
9e-06,6243.09
1e-05,6217.9
1.1000000000000001e-05,6197.77
1.2e-05,6180.79
1.3000000000000001e-05,6165.78
1.4000000000000001e-05,6152.04
1.5e-05,6139.11
1.6000000000000003e-05,6126.73
1.7e-05,6114.76
1.8e-05,6103.09
1.9e-05,6091.67
2e-05,6080.49
2.1000000000000002e-05,6069.53
2.2000000000000003e-05,6058.79
2.3e-05,6048.27
2.4e-05,6037.96
2.5e-05,6027.87
2.6000000000000002e-05,6018.0
2.7000000000000002e-05,6008.35
2.8000000000000003e-05,5998.92
2.9e-05,5989.7
3e-05,5980.69
3.1e-05,5971.89
3.2000000000000005e-05,5963.3
3.3e-05,5954.9
3.4e-05,5946.7
3.5000000000000004e-05,5938.7
3.6e-05,5930.87
3.7000000000000005e-05,5923.23
3.8e-05,5915.76
3.9e-05,5908.46
4e-05,5901.33
4.1e-05,5894.36
4.2000000000000004e-05,5887.54
4.3e-05,5880.87
4.4000000000000006e-05,5874.34
4.5e-05,5867.96
4.6e-05,5861.71
4.7000000000000004e-05,5855.59
4.8e-05,5849.59
4.9000000000000005e-05,5843.73
5e-05,5837.98
5.1000000000000006e-05,5832.34
5.2000000000000004e-05,5826.82
5.3e-05,5821.4
5.4000000000000005e-05,5816.09
5.5e-05,5810.88
5.6000000000000006e-05,5805.77
5.7e-05,5800.75
5.8e-05,5795.83
5.9000000000000004e-05,5790.99
6e-05,5786.24
6.1000000000000005e-05,5781.58
6.2e-05,5777.0
6.3e-05,5772.49
6.400000000000001e-05,5768.07
6.500000000000001e-05,5763.72
6.6e-05,5759.44
6.7e-05,5755.23
6.8e-05,5751.09
6.900000000000001e-05,5747.02
7.000000000000001e-05,5743.01
7.1e-05,5739.07
7.2e-05,5735.19
7.3e-05,5731.37
7.400000000000001e-05,5727.61
7.500000000000001e-05,5723.9
7.6e-05,5720.25
7.7e-05,5716.65
7.8e-05,5713.11
7.900000000000001e-05,5709.62
8e-05,5706.18
8.1e-05,5702.78
8.2e-05,5699.44
8.300000000000001e-05,5696.14
